,idno,subgenre,subgenre-label,prototype,author-name,title,year,decade,country,supergenre
nh0203,nh0203,historisch,Historischer Roman,no,RivaPalacio,Monja y casada,1868,1860,México,-
nh0217,nh0217,costumbrista,Kostumbristischer Roman,no,Méndez Cuenca,El espejo de Amarilis,1902,1900,México,-
nh0218,nh0218,gaucho,Gaucho-Roman,no,Llanos,Arturo Sierra,1884,1880,Argentina,costumbrista
nh0219,nh0219,costumbrista,Kostumbristischer Roman,yes,Lizardi,Noches tristes y día alegre,1818,1810,México,-
nh0220,nh0220,costumbrista,Kostumbristischer Roman,yes,Lizardi,Don Catrín de la Fachenda,1818,1810,México,-
nh0221,nh0221,costumbrista,Kostumbristischer Roman,yes,Lizardi,El Periquillo Sarniento,1816,1810,México,-
nh0401,nh0401,costumbrista,Kostumbristischer Roman,yes,Caballero,La Gaviota,1849,1840,Spain,-
nh0402,nh0402,costumbrista,Kostumbristischer Roman,yes,Pereda,Peñas arriba,1895,1890,Spain,-
nh0403,nh0403,costumbrista,Kostumbristischer Roman,yes,Pereda,Sotileza,1884,1880,Spain,-
nh0404,nh0404,costumbrista,Kostumbristischer Roman,yes,Alarcón,El sombrero de tres picos,1874,1870,Spain,-
nh0405,nh0405,costumbrista,Kostumbristischer Roman,yes,Valera,Pepita Jiménez,1874,1870,Spain,-
nh0501,nh0501,antisklaverei,Antisklaverei-Roman,no,Morillas,El ranchador,1856,1850,Cuba,costumbrista
nh0800,nh0800,historisch,Historischer Roman,yes,Scott,Waverley,1814,1810,England,-
nh0801,nh0801,sentimental,Liebesroman,yes,Rousseau,Julia o la nueva Eloísa,1761,1760,France,-
